pdb_id,method,n_models,rna_nt,prot_aa,solute_atoms,interface_res,nmr_fluct_A,qualifies,selected,split
1NYB,NMR,15,24,22,1144,12,5.55,True,1,train
2ESE,NMR,20,23,81,2100,9,2.14,True,1,train
1EKZ,NMR,36,30,76,2173,11,6.45,True,1,train
6GBM,NMR,20,23,102,2290,17,2.78,True,1,test
2FY1,NMR,17,21,108,2343,18,14.67,True,1,test
2N82,NMR,20,23,104,2385,18,3.4,True,1,test
2L2K,NMR,20,42,71,2438,19,2.2,True,1,test
2N3O,NMR,20,23,123,2621,7,3.95,True,1,test
1RKJ,NMR,14,21,175,3403,9,4.89,True,1,test
1FJE,NMR,19,22,175,3444,13,2.62,True,1,test
2PJP,X-ray,1,23,121,1473,8,0.0,True,1,test
4BW0,X-ray,1,26,117,1476,9,0.0,True,1,test
1A1T,NMR,25,20,55,1514,15,1.84,True,1,test
4PMI,X-ray,1,40,105,1711,28,0.0,True,1,test
4PDB,X-ray,1,38,129,1831,16,0.0,True,1,test
7D7V,X-ray,1,57,92,1956,13,0.0,True,1,test
1DK1,X-ray,1,57,82,1978,22,0.0,True,1,test
7K9D,X-ray,1,59,89,2003,13,0.0,True,1,test
2XDB,X-ray,1,35,162,2055,15,0.0,True,1,test
2Y8W,X-ray,1,19,215,2098,16,0.0,True,1,test
2MQV,NMR,10,68,56,3068,14,26.66,False,0,
2IHX,NMR,20,75,50,3178,24,14.51,False,0,
1U6P,NMR,20,100,56,4113,7,28.72,False,0,
2L3J,NMR,19,71,236,5520,34,13.42,False,0,
R_6U8D_1,X-ray,1,0,0,0,0,0.0,False,0,
R_6CYT,X-ray,1,17,0,364,0,0.0,False,0,
3EGZ,X-ray,1,65,88,2083,14,0.0,False,0,
2L3C,NMR,20,34,74,2238,18,1.62,True,0,
4M4O,X-ray,1,59,129,2273,9,0.0,True,0,
6SDY,NMR,20,34,74,2281,21,1.3,True,0,
6XH1,X-ray,1,27,86,2308,17,0.0,True,0,
6D12,X-ray,1,38,199,2344,17,0.0,True,0,
6CMN,X-ray,1,27,91,2388,17,0.0,True,0,
2LBS,NMR,16,32,90,2434,17,1.66,True,0,
1T4L,NMR,15,32,90,2437,19,1.52,True,0,
2HW8,X-ray,1,36,225,2492,18,0.0,True,0,
6TPH,NMR,10,23,121,2647,8,1.79,True,0,
3MXH,X-ray,1,91,87,2664,13,0.0,False,0,
3DD2,X-ray,1,15,288,2665,10,0.0,True,0,
1L1C,NMR,1,29,110,2678,15,0.0,True,0,
1LNG,X-ray,1,97,87,2807,20,0.0,False,0,
2AB4,X-ray,1,19,300,2816,12,0.0,True,0,
1K8W,X-ray,1,21,304,2835,12,0.0,True,0,
1MZP,X-ray,1,55,213,2873,24,0.0,True,0,
6CF2,X-ray,1,35,283,2934,16,0.0,True,0,
6AJK,X-ray,1,28,293,2944,8,0.0,True,0,
1ZSE,X-ray,1,12,387,3143,8,0.0,True,0,
5D6G,X-ray,1,74,205,3160,19,0.0,False,0,
2HGH,NMR,20,55,87,3163,26,0.99,True,0,
4AL5,X-ray,1,18,189,3346,16,0.0,True,0,
1L9A,X-ray,1,125,87,3410,21,0.0,False,0,
3U4M,X-ray,1,80,228,3489,25,0.0,False,0,
2X7N,X-ray,1,28,412,3737,11,0.0,False,0,
5WT3,X-ray,1,73,332,3833,30,0.0,False,0,
4PR6,X-ray,1,72,91,3894,15,0.0,False,0,
2DRB,X-ray,1,35,437,4376,17,0.0,False,0,
1OB2,X-ray,1,63,393,4384,17,0.0,False,0,
2ZZM,X-ray,1,84,329,4477,29,0.0,False,0,
1B23,X-ray,1,66,405,4558,17,0.0,False,0,
2DR2,X-ray,1,75,373,4618,8,0.0,False,0,
4OOG,X-ray,1,34,480,4652,21,0.0,False,0,
2NUE,X-ray,1,46,440,4656,19,0.0,False,0,
3TUP,X-ray,1,74,404,4928,25,0.0,False,0,
3R9X,X-ray,1,35,537,5068,26,0.0,False,0,
1H3E,X-ray,1,80,427,5081,20,0.0,False,0,
4KZD,X-ray,1,83,440,5108,8,0.0,False,0,
3QSY,X-ray,1,77,504,5553,24,0.0,False,0,
4UE4,X-ray,1,266,124,6181,8,0.0,False,0,
2R8S,X-ray,1,159,433,6680,26,0.0,False,0,
3V11,X-ray,1,71,675,6832,14,0.0,False,0,
2FM1,X-ray,1,72,354,7852,66,0.0,False,0,
1H4Q,X-ray,1,65,929,8874,14,0.0,False,0,
5X6B,X-ray,1,75,987,9528,29,0.0,False,0,
4C7O,X-ray,1,48,1138,9709,19,0.0,False,0,
